year,chaine,women_expression_rate
2010,I-Télé/CNews,38.460709798007045
2011,I-Télé/CNews,39.7197062542852
2012,I-Télé/CNews,37.28203143524295
2013,I-Télé/CNews,34.46458196847565
2014,I-Télé/CNews,34.21705188654999
2015,I-Télé/CNews,35.194313306282474
2016,I-Télé/CNews,33.70378604050557
2017,I-Télé/CNews,29.2409573794362
2018,I-Télé/CNews,30.431046673671524
2019,I-Télé/CNews,31.2610621817268
2013,L'Equipe 21,22.96172536818072
2014,L'Equipe 21,22.609735991651515
2015,L'Equipe 21,14.67981642582165
2016,L'Equipe 21,9.891840224452643
2017,L'Equipe 21,12.813498000039145
2018,L'Equipe 21,12.936566161270946
2019,L'Equipe 21,14.277578618314168
2010,LCI,32.62084196681204
2011,LCI,33.67961593605219
2012,LCI,32.638833689107344
2013,LCI,33.47618627632621
2014,LCI,33.23224773266632
2015,LCI,36.860963104914745
2016,LCI,34.94381262745534
2017,LCI,32.2129981933496
2018,LCI,31.679395716828807
2019,LCI,31.04590733176701
2010,LCP/Public Sénat,25.256254313885066
2011,LCP/Public Sénat,26.80147717670789
2012,LCP/Public Sénat,29.13367399327076
2013,LCP/Public Sénat,27.91827987378992
2014,LCP/Public Sénat,29.559332345130414
2015,LCP/Public Sénat,30.98031758269211
2016,LCP/Public Sénat,30.328369024613067
2017,LCP/Public Sénat,31.39197795186572
2018,LCP/Public Sénat,34.35828582681636
2019,LCP/Public Sénat,33.920288438753026
2010,La chaîne Météo,31.1698082315849
2011,La chaîne Météo,27.034462692571505
2012,La chaîne Météo,27.77140474415442
2013,La chaîne Météo,18.421602883706655
2014,La chaîne Météo,13.064368215145022
2015,La chaîne Météo,13.614501475083967
2016,La chaîne Météo,14.955341194795489
2017,La chaîne Météo,16.771740153016896
2018,La chaîne Météo,14.202462714074368
2019,La chaîne Météo,13.714682401351098
2010,M6,39.40278529924919
2011,M6,39.040332951107935
2012,M6,40.64356763937142
2013,M6,40.7081581138044
2014,M6,41.17379630893965
2015,M6,40.63813091743655
2016,M6,41.22403703972862
2017,M6,43.59281087936905
2018,M6,42.196399790751926
2019,M6,43.684264132999736
2010,Monte Carlo TMC,28.543801572469047
2011,Monte Carlo TMC,29.445112717342425
2012,Monte Carlo TMC,30.30436119243677
2013,Monte Carlo TMC,30.813337990042232
2014,Monte Carlo TMC,30.318944045221453
2015,Monte Carlo TMC,28.79545184635285
2016,Monte Carlo TMC,29.38568716205609
2017,Monte Carlo TMC,30.08563275215
2018,Monte Carlo TMC,31.683620289082693
2019,Monte Carlo TMC,32.945299090403935
2010,NRJ 12,30.924828451550805
2011,NRJ 12,27.40061903474688
2012,NRJ 12,32.673525889586216
2013,NRJ 12,30.67470725865372
2014,NRJ 12,35.24455770860689
2015,NRJ 12,33.06013299617276
2016,NRJ 12,33.924960099185384
2017,NRJ 12,35.453065904643694
2018,NRJ 12,35.314814987129125
2019,NRJ 12,31.217332712983698
2010,Paris Première,24.8360790899738
2011,Paris Première,25.52125150358215
2012,Paris Première,21.008999527687987
2013,Paris Première,22.519630030542427
2014,Paris Première,22.321417699181715
2015,Paris Première,21.017236450710435
2016,Paris Première,22.51810601170466
2017,Paris Première,21.8045650397315
2018,Paris Première,23.70618637668973
2019,Paris Première,25.80695850647196
2010,Planète+,17.715349611731984
2011,Planète+,15.7996663737333
2012,Planète+,16.061340550154195
2013,Planète+,15.655506944110725
2014,Planète+,17.28267881071151
2015,Planète+,15.88883396287792
2016,Planète+,16.8856145839924
2017,Planète+,16.269306054343215
2018,Planète+,19.09040126613893
2019,Planète+,20.50207190979987
2010,TF1,32.37882301327677
2011,TF1,34.654423904665926
2012,TF1,35.93875193789674
2013,TF1,36.48438235413872
2014,TF1,36.73067839419855
2015,TF1,35.346751840792244
2016,TF1,37.39063527780904
2017,TF1,38.11042499611489
2018,TF1,38.20715691117824
2019,TF1,41.98504626761073
2011,TV Breizh,29.88416433895874
2012,TV Breizh,29.34718928002188
2013,TV Breizh,29.93932007974681
2014,TV Breizh,30.173381802565675
2015,TV Breizh,32.908707747674875
2016,TV Breizh,32.10454221634168
2017,TV Breizh,30.639224327268742
2018,TV Breizh,31.890735697679023
2019,TV Breizh,31.753470809772438
2010,TV5 Monde,28.02868276237841
2011,TV5 Monde,28.699712001358265
2012,TV5 Monde,28.571515860816326
2013,TV5 Monde,30.118738220183687
2014,TV5 Monde,29.505054393289075
2015,TV5 Monde,29.587629691667605
2016,TV5 Monde,31.21215637964163
2017,TV5 Monde,30.873578894303744
2018,TV5 Monde,35.08081948299965
2019,TV5 Monde,35.59168705994433
2010,Toute l'Histoire,17.8601299587232
2011,Toute l'Histoire,20.773158009032887
2012,Toute l'Histoire,19.34772249241589
2013,Toute l'Histoire,17.2191563576848
2014,Toute l'Histoire,19.644503079324608
2015,Toute l'Histoire,20.657402102193984
2016,Toute l'Histoire,18.366167899366364
2017,Toute l'Histoire,17.143527820296132
2018,Toute l'Histoire,17.944907646051764
2019,Toute l'Histoire,18.57596475017133
2011,Téva,44.83728344018357
2012,Téva,43.83392316365572
2013,Téva,45.76238037783062
2014,Téva,46.72192249956213
2015,Téva,51.2108797193161
2016,Téva,53.3579300360731
2017,Téva,50.65505691204858
2018,Téva,47.54970857518087
2019,Téva,49.50717526992731
2010,Voyage,23.647660181844163
2011,Voyage,25.00898813273798
2012,Voyage,24.32763131151676
2013,Voyage,26.81814978862775
2014,Voyage,24.428790569555343
2015,Voyage,24.075768707530333
2016,Voyage,21.86999210207125
2017,Voyage,23.539410804262737
2018,Voyage,26.08080378570629
2019,Voyage,24.912812649488075
2010,W9,30.842987322969798
2011,W9,32.866200908080565
2012,W9,32.19063868387818
2013,W9,34.937837768784554
2014,W9,36.40868788075179
2015,W9,36.93924232991307
2016,W9,37.072227603164194
2017,W9,36.08390653830904
2018,W9,35.1292442030032
2019,W9,35.75575523439771
