year,station,women_expression_rate
2011,France Inter,33.140272270100255
2012,France Inter,31.96567659964457
2013,France Inter,31.25318742545518
2014,France Inter,32.50758038805748
2015,France Inter,34.48039058626382
2016,France Inter,33.70817473792074
2017,France Inter,32.89720348004199
2018,France Inter,34.390612590538204
2019,France Inter,34.34310229103097
1995,France Musique,33.81679238499137
1996,France Musique,32.18476890587846
1997,France Musique,26.59674704756677
1998,France Musique,24.6717460795106
1999,France Musique,26.344210432561
2000,France Musique,27.1923856622358
2001,France Musique,18.82817609494691
2002,France Musique,16.842350781665907
2003,France Musique,18.30660805871937
2004,France Musique,15.829068977565376
2005,France Musique,20.660844146301518
2006,France Musique,21.957978366713423
2007,France Musique,21.99835763046493
2008,France Musique,17.375895239630225
2009,France Musique,17.938157216008218
2010,France Musique,21.560080312900443
2011,France Musique,24.40279213429492
2012,France Musique,21.582666887417947
2013,France Musique,28.54908529002147
2014,France Musique,28.8065047088233
2015,France Musique,26.74780732199707
2016,France Musique,32.15934239367761
2017,France Musique,35.98340748678462
2018,France Musique,36.15610117001081
2019,France Musique,37.9528529749255
2001,Fun Radio,24.834466263222133
2003,Fun Radio,22.530317885941948
2004,Fun Radio,21.01982244811963
2005,Fun Radio,18.847856946018005
2006,Fun Radio,32.00736273723482
2007,Fun Radio,28.665868349418723
2008,Fun Radio,26.688679801245808
2009,Fun Radio,28.96434349925046
2010,Fun Radio,28.466356860414805
2011,Fun Radio,28.114294352153664
2012,Fun Radio,29.34799933704885
2013,Fun Radio,27.45488885432129
2014,Fun Radio,25.18603753227528
2015,Fun Radio,28.036430465155338
2016,Fun Radio,34.72051823082182
2017,Fun Radio,35.99501203686068
2018,Fun Radio,35.15081695140639
2019,Fun Radio,35.1746139711973
2012,MOUV,26.41302687957854
2013,MOUV,27.585915391568637
2014,MOUV,35.19966908822155
2015,MOUV,35.46155208020755
2016,MOUV,32.15796509592144
2017,MOUV,26.287558878168856
2018,MOUV,22.750424509879043
2019,MOUV,22.448060471863585
2002,NRJ,19.871312881960137
2003,NRJ,20.749310680765447
2004,NRJ,21.291824144384123
2005,NRJ,21.009304528212656
2006,NRJ,22.169085680155604
2007,NRJ,20.842509905237712
2008,NRJ,23.84381167072717
2009,NRJ,22.876215523126383
2010,NRJ,27.82591050495905
2011,NRJ,27.141962841964123
2012,NRJ,25.91099779179889
2013,NRJ,27.72183252863248
2014,NRJ,26.239420371121312
2015,NRJ,27.28895979782732
2016,NRJ,27.146358893088845
2017,NRJ,26.216932006057824
2018,NRJ,25.610606912497385
2019,NRJ,23.599100323152644
2001,Nostalgie,27.59088150908976
2003,Nostalgie,30.691771681964
2004,Nostalgie,29.05552763700889
2005,Nostalgie,27.86991268134366
2006,Nostalgie,28.68837449831111
2007,Nostalgie,26.029041632193618
2008,Nostalgie,28.58466229370637
2009,Nostalgie,31.672880006482306
2010,Nostalgie,30.991078195360284
2011,Nostalgie,33.90542069700559
2012,Nostalgie,34.255108396813135
2013,Nostalgie,39.98061695978606
2014,Nostalgie,40.95483552534692
2015,Nostalgie,38.12403936532441
2016,Nostalgie,39.16218214885557
2017,Nostalgie,39.56458197240957
2018,Nostalgie,37.30006373071829
2019,Nostalgie,36.49080550498661
2000,RFI,29.21668085924457
2001,RFI,29.421712151422746
2002,RFI,29.53184171569163
2003,RFI,28.73727232135224
2004,RFI,28.670031809983143
2005,RFI,30.8267194893976
2006,RFI,31.27587693748129
2007,RFI,31.98765769161585
2008,RFI,31.152299036925346
2009,RFI,33.42017601031054
2010,RFI,32.071815994678026
2011,RFI,30.8037127538672
2012,RFI,30.97245626385851
2013,RFI,32.43066970758293
2014,RFI,36.39913883391533
2015,RFI,33.84550392296675
2016,RFI,34.69744731301957
2017,RFI,34.0340717506062
2018,RFI,33.151779790071906
2019,RFI,32.11019626231199
2002,RFM,33.46871278467056
2003,RFM,34.19015928982982
2004,RFM,33.52603169821008
2005,RFM,36.90578263966727
2006,RFM,26.918687880856947
2007,RFM,26.969256688388267
2008,RFM,27.52984881585331
2009,RFM,31.656884838361886
2010,RFM,31.45320696076809
2011,RFM,34.82297592832659
2012,RFM,31.33519920197129
2013,RFM,34.23104908144976
2014,RFM,33.241051828545096
2015,RFM,32.392987001697946
2016,RFM,33.64233990877295
2017,RFM,35.26090746019392
2018,RFM,34.81562871892078
2019,RFM,34.626478819031604
2001,RMC,24.72236851098466
2002,RMC,25.44385958029311
2003,RMC,25.620971374595484
2004,RMC,24.86227125954769
2005,RMC,19.758080932435888
2006,RMC,18.25123681966485
2007,RMC,17.837473822658087
2008,RMC,17.662374308921283
2009,RMC,17.754179512733884
2010,RMC,17.182985154584664
2011,RMC,16.71187829423589
2012,RMC,16.08334016873704
2013,RMC,17.147354292588968
2014,RMC,17.068201717335505
2015,RMC,17.667537924451263
2016,RMC,16.989229404903625
2017,RMC,16.69744096469556
2018,RMC,16.580603035192738
2019,RMC,17.332148549823128
2001,RTL,26.436943538672
2002,RTL,28.318784660128426
2003,RTL,27.393142587169933
2004,RTL,27.426054793172
2005,RTL,26.372511746277016
2006,RTL,25.912728000334862
2007,RTL,24.10304828471861
2008,RTL,23.988117434339053
2009,RTL,25.16340198107723
2010,RTL,26.086052011491663
2011,RTL,26.628004043875475
2012,RTL,27.135949838098394
2013,RTL,28.82729651150873
2014,RTL,27.52237583349496
2015,RTL,28.92310047991458
2016,RTL,28.04277644971849
2017,RTL,29.203447380372648
2018,RTL,29.63997469352672
2019,RTL,31.431721709202957
2002,RTL 2,31.176975476418605
2003,RTL 2,31.045340884394967
2004,RTL 2,33.33399871769509
2005,RTL 2,33.10641279378454
2006,RTL 2,31.207055875297403
2007,RTL 2,38.28493128652301
2008,RTL 2,43.20330209880645
2009,RTL 2,43.33932234832236
2010,RTL 2,43.91122699047133
2011,RTL 2,47.79583293026206
2012,RTL 2,47.7599003025203
2013,RTL 2,46.27978046399612
2014,RTL 2,44.310358777016006
2015,RTL 2,44.71229154246779
