annee,chaine,is_public_channel,women_expression_rate,speech_rate,nb_hours_analyzed,part_catastrophes,part_culture_loisirs,part_economie,part_education,part_environnement,part_faits_divers,part_histoire_hommages,part_international,part_justice,part_politique_france,part_sante,part_sciences_et_techniques,part_societe,part_sport
2016,France 2,True,33.92145412835245,83.19447436132506,1639.0,0.047,0.0805,0.1345,0.0169,0.0397,0.0211,0.0253,0.1572,0.0246,0.1607,0.0204,0.026,0.1842,0.062
2016,France 3,True,32.63479635381367,82.21916798516068,1658.0,0.0684,0.0732,0.1188,0.018,0.0398,0.0337,0.0341,0.1066,0.0392,0.1663,0.0334,0.0204,0.1787,0.0694
2016,M6,False,41.22403703972862,78.27028228246088,1637.0,0.0582,0.1216,0.0756,0.0262,0.0226,0.0471,0.0212,0.11,0.0382,0.136,0.038,0.0224,0.184,0.0988
2016,TF1,False,37.39063527780904,78.15672962424654,1685.0,0.0485,0.101,0.1054,0.0262,0.0421,0.0195,0.0248,0.1258,0.0237,0.1622,0.0321,0.0352,0.1651,0.0884
2017,Arte,True,29.86024068755448,75.18851622103652,1629.0,0.0179,0.1066,0.0449,0.007,0.0364,0.0103,0.0238,0.4724,0.0406,0.0849,0.018,0.0271,0.106,0.0043
2017,France 2,True,36.41515787899744,80.08892403832274,1664.0,0.0496,0.072,0.1481,0.0238,0.0403,0.0225,0.0254,0.1262,0.0276,0.2257,0.0272,0.0173,0.1597,0.0347
2017,France 3,True,34.991187386781206,79.76534881601343,1638.0,0.0755,0.0713,0.1177,0.0216,0.0448,0.0429,0.0307,0.0936,0.0397,0.2032,0.0419,0.0201,0.1587,0.0383
2017,M6,False,43.59281087936905,75.54337894585082,1636.0,0.061,0.1295,0.0807,0.0212,0.0259,0.0457,0.026,0.0936,0.0379,0.1893,0.0431,0.0246,0.1789,0.0427
2017,TF1,False,38.11042499611489,75.52316681911836,1664.0,0.055,0.08,0.1254,0.0343,0.0468,0.0265,0.0289,0.0872,0.0247,0.2148,0.0315,0.0384,0.1497,0.0571
2018,Arte,True,31.1489534647153,75.33738529237635,2014.0,0.0176,0.1027,0.0478,0.012,0.0475,0.0147,0.0257,0.4649,0.0363,0.0363,0.0247,0.032,0.1318,0.006
2018,France 2,True,37.24429925353736,80.14594445691887,2087.0,0.0619,0.0671,0.1526,0.023,0.0651,0.0312,0.0257,0.1113,0.0449,0.1011,0.0337,0.013,0.2224,0.047
2018,France 3,True,35.37314449879114,78.8460842347336,2042.0,0.0925,0.0736,0.1231,0.0181,0.0599,0.0542,0.034,0.0619,0.054,0.1163,0.0336,0.0134,0.2186,0.0469
2018,M6,False,42.196399790751926,75.54206225948286,2089.0,0.0639,0.1393,0.0933,0.0297,0.0353,0.0583,0.0264,0.0677,0.0498,0.079,0.0475,0.0269,0.207,0.0758
2018,TF1,False,38.20715691117824,75.56656202083478,2005.0,0.0755,0.0624,0.1589,0.03,0.0608,0.0355,0.0226,0.0698,0.0404,0.0843,0.0334,0.031,0.2255,0.07
2019,Arte,True,32.8164656046445,74.90190357047875,826.0,0.0166,0.0974,0.0468,0.007,0.0607,0.0145,0.0324,0.5003,0.032,0.0263,0.0225,0.0287,0.1096,0.0051
2019,France 2,True,38.918406967043744,80.46073324959082,826.0,0.0605,0.0606,0.1537,0.0189,0.0758,0.0447,0.0278,0.1084,0.0329,0.0901,0.0369,0.0216,0.2453,0.0228
2019,France 3,True,35.906998140221205,79.0349615276713,826.0,0.0799,0.08,0.1279,0.0135,0.0761,0.0585,0.0359,0.0714,0.0494,0.1156,0.0395,0.0163,0.2123,0.0237
2019,M6,False,43.684264132999736,76.53623822119886,826.0,0.0651,0.1364,0.0846,0.0246,0.0473,0.0714,0.0271,0.0942,0.0539,0.0724,0.0433,0.0251,0.2074,0.0473
2019,TF1,False,41.98504626761073,76.38848179389035,826.0,0.0723,0.0613,0.1778,0.0232,0.0824,0.052,0.0248,0.0607,0.0268,0.0737,0.0384,0.0414,0.2408,0.0245
