year,media_type,media_name,women_expression_rate,rang,nb_medias,quartile
2017,tv,Toute l'Histoire,17.143527820296132,28,34,4
2017,tv,La chaîne Météo,16.771740153016896,29,34,4
2017,tv,Planète+,16.269306054343215,30,34,4
2017,tv,L'Equipe 21,12.813498000039145,31,34,4
2017,tv,Chasse et pêche,9.108982132264543,32,34,4
2017,tv,Eurosport France,5.595861852588684,33,34,4
2017,tv,Canal+ Sport,4.813465984423973,34,34,4
2018,radio,Chérie FM,52.14109768273819,1,21,1
2018,radio,RTL 2,44.26168230785402,2,21,1
2018,radio,Europe 1,39.15215807188105,3,21,1
2018,radio,Nostalgie,37.30006373071829,4,21,1
2018,radio,France Bleu,36.64983585580104,5,21,1
2018,radio,Radio Classique,36.354800511484285,6,21,2
2018,radio,France Musique,36.15610117001081,7,21,2
2018,radio,Fun Radio,35.15081695140639,8,21,2
2018,radio,RFM,34.81562871892078,9,21,2
2018,radio,France Culture,34.708221714908724,10,21,2
2018,radio,France Inter,34.390612590538204,11,21,3
2018,radio,RFI,33.151779790071906,12,21,3
2018,radio,Sud Radio,32.79782941095392,13,21,3
2018,radio,France Info,30.231738086433435,14,21,3
2018,radio,RTL,29.63997469352672,15,21,3
2018,radio,Rire et Chansons,26.21352398800536,16,21,4
2018,radio,NRJ,25.610606912497385,17,21,4
2018,radio,Virgin Radio,24.19564278911209,18,21,4
2018,radio,MOUV,22.750424509879043,19,21,4
2018,radio,RMC,16.580603035192738,20,21,4
2018,radio,Skyrock,15.509622858657105,21,21,4
2018,tv,Téva,47.54970857518087,1,34,1
2018,tv,France 24,45.99064159398676,2,34,1
2018,tv,M6,42.196399790751926,3,34,1
2018,tv,Animaux,40.99981927314211,4,34,1
2018,tv,Chérie 25,39.983769271327006,5,34,1
2018,tv,TF1,38.20715691117824,6,34,1
2018,tv,France 2,37.24429925353736,7,34,1
2018,tv,BFM TV,36.99559666529718,8,34,1
2018,tv,France 5,36.09154361876181,9,34,1
2018,tv,France 3,35.37314449879114,10,34,2
2018,tv,NRJ 12,35.314814987129125,11,34,2
2018,tv,W9,35.1292442030032,12,34,2
2018,tv,France O,35.106503585598,13,34,2
2018,tv,TV5 Monde,35.08081948299965,14,34,2
2018,tv,Euronews,34.89162555702699,15,34,2
2018,tv,LCP/Public Sénat,34.35828582681636,16,34,2
2018,tv,TV Breizh,31.890735697679023,17,34,2
2018,tv,Monte Carlo TMC,31.683620289082693,18,34,3
2018,tv,LCI,31.679395716828807,19,34,3
2018,tv,ARTE,31.1489534647153,20,34,3
2018,tv,I-Télé/CNews,30.431046673671524,21,34,3
2018,tv,D8/C8,28.3769902073018,22,34,3
2018,tv,Comédie+,28.367153032273382,23,34,3
2018,tv,Voyage,26.08080378570629,24,34,3
2018,tv,Histoire,24.12733665367189,25,34,3
2018,tv,Paris Première,23.70618637668973,26,34,4
2018,tv,Canal+,22.485153691737544,27,34,4
2018,tv,Planète+,19.09040126613893,28,34,4
2018,tv,Toute l'Histoire,17.944907646051764,29,34,4
2018,tv,La chaîne Météo,14.202462714074368,30,34,4
2018,tv,L'Equipe 21,12.936566161270946,31,34,4
2018,tv,Chasse et pêche,11.774427136755584,32,34,4
2018,tv,Eurosport France,5.617468543657603,33,34,4
2018,tv,Canal+ Sport,5.137714741650995,34,34,4
2019,radio,Chérie FM,48.675315574656416,1,21,1
2019,radio,RTL 2,45.73666968507612,2,21,1
2019,radio,Europe 1,40.37932999751301,3,21,1
2019,radio,Radio Classique,38.67254741335386,4,21,1
2019,radio,France Musique,37.9528529749255,5,21,1
2019,radio,France Bleu,37.21475103477449,6,21,2
2019,radio,Nostalgie,36.49080550498661,7,21,2
2019,radio,Fun Radio,35.1746139711973,8,21,2
2019,radio,France Culture,34.789278609078,9,21,2
2019,radio,RFM,34.626478819031604,10,21,2
2019,radio,France Inter,34.34310229103097,11,21,3
2019,radio,Sud Radio,32.47137919938138,12,21,3
2019,radio,RFI,32.11019626231199,13,21,3
2019,radio,RTL,31.43172170920296,14,21,3
2019,radio,France Info,29.186492114868617,15,21,3
2019,radio,Virgin Radio,28.2381532541083,16,21,4
2019,radio,Rire et Chansons,25.63334650039903,17,21,4
2019,radio,NRJ,23.599100323152644,18,21,4
2019,radio,MOUV,22.448060471863585,19,21,4
2019,radio,RMC,17.332148549823128,20,21,4
2019,radio,Skyrock,14.9102143383857,21,21,4
2019,tv,Téva,49.50717526992731,1,34,1
2019,tv,France 24,47.917399538024654,2,34,1
2019,tv,M6,43.684264132999736,3,34,1
2019,tv,TF1,41.98504626761073,4,34,1
2019,tv,Chérie 25,39.85225212210074,5,34,1
2019,tv,France 2,38.918406967043744,6,34,1
2019,tv,Animaux,38.53242393030715,7,34,1
2019,tv,France O,37.365873322750886,8,34,1
2019,tv,France 5,37.28189905165348,9,34,1
2019,tv,France 3,35.906998140221205,10,34,2
2019,tv,W9,35.75575523439771,11,34,2
2019,tv,Euronews,35.70667939178433,12,34,2
2019,tv,TV5 Monde,35.59168705994433,13,34,2
2019,tv,BFM TV,34.23135499531699,14,34,2
2019,tv,LCP/Public Sénat,33.920288438753026,15,34,2
2019,tv,Comédie+,33.66962522806119,16,34,2
2019,tv,Monte Carlo TMC,32.945299090403935,17,34,2
2019,tv,ARTE,32.8164656046445,18,34,3
2019,tv,TV Breizh,31.75347080977244,19,34,3
2019,tv,I-Télé/CNews,31.2610621817268,20,34,3
2019,tv,NRJ 12,31.217332712983698,21,34,3
2019,tv,LCI,31.04590733176701,22,34,3
2019,tv,D8/C8,29.815084489420546,23,34,3
2019,tv,Paris Première,25.80695850647196,24,34,3
2019,tv,Voyage,24.912812649488075,25,34,3
2019,tv,Histoire,24.14199875586385,26,34,4
2019,tv,Canal+,22.70213656101075,27,34,4
2019,tv,Planète+,20.50207190979987,28,34,4
2019,tv,Toute l'Histoire,18.57596475017133,29,34,4
2019,tv,L'Equipe 21,14.277578618314168,30,34,4
2019,tv,La chaîne Météo,13.714682401351098,31,34,4
2019,tv,Chasse et pêche,12.045818606364929,32,34,4
2019,tv,Eurosport France,9.858520804381008,33,34,4
2019,tv,Canal+ Sport,5.136650864163029,34,34,4
