media_type,media_name,year,women_expression_rate
radio,Fun Radio,2009,28.96434349925046
radio,Fun Radio,2010,28.466356860414805
radio,Fun Radio,2011,28.114294352153664
radio,Fun Radio,2012,29.34799933704885
radio,Fun Radio,2013,27.45488885432129
radio,Fun Radio,2014,25.18603753227528
radio,Fun Radio,2015,28.036430465155338
radio,Fun Radio,2016,34.72051823082182
radio,Fun Radio,2017,35.99501203686068
radio,Fun Radio,2018,35.15081695140639
radio,Fun Radio,2019,35.1746139711973
radio,MOUV,2012,26.41302687957854
radio,MOUV,2013,27.58591539156864
radio,MOUV,2014,35.19966908822155
radio,MOUV,2015,35.46155208020755
radio,MOUV,2016,32.15796509592144
radio,MOUV,2017,26.287558878168856
radio,MOUV,2018,22.750424509879043
radio,MOUV,2019,22.448060471863585
radio,NRJ,2002,19.871312881960137
radio,NRJ,2003,20.749310680765447
radio,NRJ,2004,21.291824144384123
radio,NRJ,2005,21.009304528212656
radio,NRJ,2006,22.169085680155604
radio,NRJ,2007,20.842509905237712
radio,NRJ,2008,23.84381167072717
radio,NRJ,2009,22.876215523126383
radio,NRJ,2010,27.82591050495905
radio,NRJ,2011,27.141962841964123
radio,NRJ,2012,25.91099779179889
radio,NRJ,2013,27.72183252863248
radio,NRJ,2014,26.239420371121312
radio,NRJ,2015,27.28895979782732
radio,NRJ,2016,27.146358893088845
radio,NRJ,2017,26.216932006057824
radio,NRJ,2018,25.610606912497385
radio,NRJ,2019,23.599100323152644
radio,Nostalgie,2001,27.59088150908976
radio,Nostalgie,2003,30.691771681964
radio,Nostalgie,2004,29.05552763700889
radio,Nostalgie,2005,27.86991268134366
radio,Nostalgie,2006,28.68837449831111
radio,Nostalgie,2007,26.029041632193618
radio,Nostalgie,2008,28.58466229370637
radio,Nostalgie,2009,31.672880006482306
radio,Nostalgie,2010,30.991078195360284
radio,Nostalgie,2011,33.90542069700559
radio,Nostalgie,2012,34.255108396813135
radio,Nostalgie,2013,39.98061695978606
radio,Nostalgie,2014,40.95483552534692
radio,Nostalgie,2015,38.12403936532441
radio,Nostalgie,2016,39.16218214885557
radio,Nostalgie,2017,39.56458197240957
radio,Nostalgie,2018,37.30006373071829
radio,Nostalgie,2019,36.49080550498661
radio,RFI,2000,29.21668085924457
radio,RFI,2001,29.421712151422746
radio,RFI,2002,29.53184171569163
radio,RFI,2003,28.73727232135224
radio,RFI,2004,28.670031809983143
radio,RFI,2005,30.8267194893976
radio,RFI,2006,31.27587693748129
radio,RFI,2007,31.98765769161585
radio,RFI,2008,31.152299036925346
radio,RFI,2009,33.42017601031054
radio,RFI,2010,32.071815994678026
radio,RFI,2011,30.8037127538672
radio,RFI,2012,30.97245626385851
radio,RFI,2013,32.43066970758293
radio,RFI,2014,36.39913883391533
radio,RFI,2015,33.84550392296675
radio,RFI,2016,34.69744731301957
radio,RFI,2017,34.0340717506062
radio,RFI,2018,33.151779790071906
radio,RFI,2019,32.11019626231199
radio,RFM,2002,33.46871278467056
radio,RFM,2003,34.19015928982982
radio,RFM,2004,33.52603169821008
radio,RFM,2005,36.90578263966727
radio,RFM,2006,26.918687880856947
radio,RFM,2007,26.969256688388267
radio,RFM,2008,27.52984881585331
radio,RFM,2009,31.656884838361886
radio,RFM,2010,31.45320696076809
radio,RFM,2011,34.82297592832659
radio,RFM,2012,31.33519920197129
radio,RFM,2013,34.23104908144976
radio,RFM,2014,33.241051828545096
radio,RFM,2015,32.392987001697946
radio,RFM,2016,33.64233990877295
radio,RFM,2017,35.26090746019392
radio,RFM,2018,34.81562871892078
radio,RFM,2019,34.626478819031604
radio,RMC,2001,24.72236851098466
radio,RMC,2002,25.44385958029311
radio,RMC,2003,25.620971374595484
radio,RMC,2004,24.86227125954769
radio,RMC,2005,19.758080932435888
radio,RMC,2006,18.25123681966485
radio,RMC,2007,17.837473822658087
radio,RMC,2008,17.662374308921283
radio,RMC,2009,17.754179512733884
radio,RMC,2010,17.182985154584664
radio,RMC,2011,16.71187829423589
radio,RMC,2012,16.08334016873704
radio,RMC,2013,17.147354292588968
radio,RMC,2014,17.068201717335505
radio,RMC,2015,17.667537924451263
radio,RMC,2016,16.989229404903625
radio,RMC,2017,16.69744096469556
radio,RMC,2018,16.580603035192738
radio,RMC,2019,17.332148549823128
radio,RTL,2001,26.436943538672
radio,RTL,2002,28.318784660128426
radio,RTL,2003,27.393142587169933
radio,RTL,2004,27.426054793172
radio,RTL,2005,26.372511746277016
radio,RTL,2006,25.912728000334862
radio,RTL,2007,24.10304828471861
radio,RTL,2008,23.988117434339053
radio,RTL,2009,25.16340198107723
radio,RTL,2010,26.086052011491663
radio,RTL,2011,26.628004043875475
radio,RTL,2012,27.135949838098394
radio,RTL,2013,28.82729651150873
radio,RTL,2014,27.52237583349496
radio,RTL,2015,28.92310047991458
radio,RTL,2016,28.04277644971849
radio,RTL,2017,29.203447380372648
radio,RTL,2018,29.63997469352672
radio,RTL,2019,31.43172170920296
radio,RTL 2,2002,31.176975476418605
radio,RTL 2,2003,31.045340884394967
radio,RTL 2,2004,33.33399871769509
radio,RTL 2,2005,33.10641279378454
radio,RTL 2,2006,31.207055875297403
